## https://arxiv.org/pdf/nucl-ex/0307022.pdf
## mass end_of_datas


BEGIN
1.35     	  2.55e+00  	  4.5e-02  
1.45     	  1.72e+00  	  3.3e-02  
1.55     	  1.13e+00  	  2.3e-02  
1.65     	  8.05e-01  	  1.8e-02  
1.75     	  5.70e-01  	  1.4e-02  
1.85     	  4.18e-01  	  1.2e-02  
1.95     	  2.80e-01  	  9.0e-03  
2.05     	  2.09e-01  	  6.1e-03  
2.15     	  1.36e-01  	  4.8e-03  
2.25     	  9.10e-02  	  3.8e-03  
2.35     	  7.20e-02  	  3.6e-03  
2.45     	  5.40e-02  	  3.2e-03  
2.55     	  3.78e-02  	  2.8e-03  
2.65     	  2.65e-02  	  2.5e-03  
2.75     	  2.27e-02  	  2.5e-03  
2.85     	  1.28e-02  	  1.9e-03  
2.95     	  1.03e-02  	  1.8e-03  

